_id,Inspection ID,Facility ID,Facility Name,Facility Address,Facility Address 2,Facility Municipality Name,Facility City,Facility County,Facility State,Facility Postal Code,Facility Latitude,Facility Longitude,Venue Type,Inspection Date,Inspection End,Inspection Purpose,Inspection Passed,Inspection Number,Inspector Name,"Free Chlorine, Shallow","Free Chlorine, Deep","Combined Chlorine, Shallow","Combined Chlorine, Deep","Free Bromine, Shallow","Free Bromine, Deep","pH Value, Shallow","pH Value, Deep",Cyanuric Acid,Turnover,Enclosure,Main Drain Visible,Safety Equipment,Disinfectant Level,pH Balance,No Imminent Health Hazards,Abated Date
127368,200144,5902,THE RIDGE @ ROBINSON POOL,1501 MEREDITH DRIVE,,Robinson Township,PITTSBURGH,Allegheny County,PA,15205,40.44197976,-80.14335684,POOLS (OUTDOOR),2022-06-21T14:40:00,2022-06-24T15:25:00,FOLLOW UP INSPECTION,t,3,MANOWN MARYANN,8,8,0,0,,,7.4,7.4,50,130,t,t,f,t,f,t,
127369,200163,549,SHANNOPIN COUNTRY CLUB TOT  POOL,1 WINDMERE ROAD,,Ben Avon Heights,PITTSBURGH,Allegheny County,PA,15202,40.51452753,-80.06919634,WADING POOL SYSTEM,2022-06-23T14:30:00,2022-06-27T15:00:00,INITIAL INSPECTION,t,1,NOBBS SCOTT,1,,0.2,,,,7.4,,,,t,t,t,t,t,t,6/28/2022
127370,200170,2483,SOUTH HILLS COUNTRY CLUB POOL,4305 BROWNSVILLE ROAD,,Whitehall,PITTSBURGH,Allegheny County,PA,15236,40.36094836,-79.98554655,POOLS (OUTDOOR),2022-06-23T14:00:00,2022-06-27T15:00:00,FOLLOW UP INSPECTION,t,6,CONLEY FAON,4,4,0,0,0,0,7.4,7.4,,550,t,t,f,t,t,t,7/21/2023
127371,200171,675,SOUTH HILLS COUNTRY CLUB / WADING POOL,4305 BROWNSVILLE ROAD,,Whitehall,PITTSBURGH,Allegheny County,PA,15236,40.36094836,-79.98554655,WADING POOL SYSTEM,2022-06-23T14:00:00,2022-06-27T15:00:00,FOLLOW UP INSPECTION,t,2,CONLEY FAON,4,4,0,0,0,0,7.4,7.4,,120,t,t,f,t,t,t,6/29/2022
127372,200197,9857,HAMILTON PLACE POOL,100 ADDIE  COURT,,Castle Shannon,Pittsburgh,Allegheny County,PA,15234,40.36364913,-80.01782938,POOLS (OUTDOOR),2022-06-27T14:25:00,2022-06-28T14:55:00,INITIAL INSPECTION,t,1,WOLFE CURRIER,5,,0.2,,,,7.2,,<30,40,t,t,f,t,t,t,8/11/2023
127374,200211,7756,THE EVALEE,7 DORCHESTER DRIVE,,Bethel Park,Pittsburgh,Allegheny County,PA,15241,40.34084473,-80.05084861,POOLS (OUTDOOR),2022-06-24T14:00:00,2022-06-29T15:15:00,FOLLOW UP INSPECTION,t,2,CONLEY FAON,5,5,0,0,0,0,7.2,7.2,,150,t,t,f,t,t,t,7/1/2022
127375,200220,15,VALLEY BROOK SWIM CLUB-WADING,1 CALLENDER  ROAD,,Ross Township,PITTSBURGH,Allegheny County,PA,15237,,,WADING POOL SYSTEM,2022-06-28T13:00:00,2022-06-29T13:30:00,INITIAL INSPECTION,t,1,NOBBS SCOTT,1,,0.2,,,,7.4,,,20,t,t,t,t,t,t,7/7/2022
127386,200167,2444,CHESTNUT RIDGE APARTMENT POOL,3200 CHESTNUT RIDGE ROAD,,ROBINSON TOWNSHIP,PITTSBURGH,Allegheny County,PA,15205,40.43571688,-80.15596591,POOLS (OUTDOOR),2022-06-23T15:30:00,2022-06-27T16:15:00,FOLLOW UP INSPECTION,t,2,MANOWN MARYANN,4,,0,,,,7.6,,50,65,t,t,f,t,t,t,8/22/2022
127391,200665,414,OAK HILL APT POOL,280 BURROWS STREET,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15213,40.43968839,-79.97008629,POOLS (OUTDOOR),2022-07-20T10:10:00,2022-07-21T10:45:00,INITIAL INSPECTION,t,1,WILSON ANGELA,1.6,,0.2,,,,7.4,,30,80,t,t,f,t,t,t,8/5/2022
127394,200719,5982,NINETEEN NORTH APARTMENT POOL,1050 19TH NORTH DRIVE,,McCandless,PITTSBURGH,Allegheny County,PA,15237,40.56650574,-80.04156585,POOLS (OUTDOOR),2022-07-22T15:15:00,2022-07-25T15:50:00,INITIAL INSPECTION,t,1,NOBBS SCOTT,1.8,1.6,0.2,0.2,,,7.4,7.4,,145,t,t,t,t,t,t,8/25/2022
127395,200726,2506,FOREST HILLS COMMUNITY POOL,400 BRADDOCK ROAD,,Forest Hills,PITTSBURGH,Allegheny County,PA,15221,40.42479529,-79.85632684,POOLS (OUTDOOR),2022-07-19T14:00:00,2022-07-25T14:45:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,2,,0,,,,7.4,,,680,t,t,t,t,t,t,8/4/2022
127400,200742,5442,THE YARDS @ 3 CROSSINGS - POOL,2625 RAILROAD  STREET,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15222,,,POOLS (OUTDOOR),2022-07-22T09:30:00,2022-07-26T10:00:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,1,,0,,,,7.4,,,120,t,t,t,t,t,t,8/5/2022
127401,200751,10680,THE CORK FACTORY LOFTS-SPA,2349 RAILROAD STREET,,Pittsburgh,Pittsburgh,Allegheny County,PA,15222,40.45469467,-79.98337625,SPA/HOT TUB (INDOOR),2022-07-22T10:30:00,2022-07-26T10:45:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,2,,0,,,,7.2,,,10,t,t,t,t,t,t,8/4/2022
127402,200752,10679,THE CORK FACTORY LOFTS POOL,2349 RAILROAD STREET,,Pittsburgh,Pittsburgh,Allegheny County,PA,15222,40.45469467,-79.98337625,POOLS (OUTDOOR),2022-07-22T10:45:00,2022-07-26T11:15:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,1.8,,0,,,,7.4,,,65,t,t,t,t,t,t,8/4/2022
127403,200772,10739,CAMBRIA SUITES PGH @ PPG PAINTS ARENA SPA,1320 CENTRE AVENUE,,Pittsburgh,Pittsburgh,Allegheny County,PA,15219,40.44009334,-79.98798104,SPA/HOT TUB (INDOOR),2022-07-25T14:20:00,2022-07-27T15:00:00,INITIAL INSPECTION,t,1,ANDERSON IAN,9.8,,0,,,,7.2,,,60,t,t,f,t,t,t,1/5/2024
127406,200795,1305,SAMPSON YMCA OUTDOOR POOL,2200 GOLDEN MILE  HIGHWAY,Rt#286,Plum,PITTSBURGH,Allegheny County,PA,15239,40.45807353,-79.7076382,POOLS (OUTDOOR),2022-07-26T12:41:00,2022-07-27T13:15:00,INITIAL INSPECTION,t,1,WILSON ANGELA,2.2,2.8,0,0,,,7.4,7.4,<30,560,t,t,f,t,t,t,8/26/2022
127409,200248,1943,RIVERS CLUB / INDOOR POOL,301 GRANT STREET,Ste 411,Pittsburgh,PITTSBURGH,Allegheny County,PA,15219,40.43800708,-79.99861019,POOLS (INDOOR),2022-06-27T09:30:00,2022-07-01T10:00:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,5,,0,,,,7.3,,,90,t,t,t,t,t,t,7/1/2022
127410,200250,1944,RIVERS CLUB MEN'S SPA,301 GRANT STREET, #411,Pittsburgh,PITTSBURGH,Allegheny County,PA,15219,40.43800708,-79.99861019,SPA/HOT TUB (INDOOR),2022-06-27T10:00:00,2022-07-01T10:15:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,,,,,3,,7.4,,,10,t,t,t,t,t,t,7/1/2022
127411,200254,2490,CHARTIERS COUNTRY CLUB WADING POOL,601 BALDWIN ROAD,,ROBINSON TOWNSHIP,PITTSBURGH,Allegheny County,PA,15205,40.43475636,-80.09294628,WADING POOL SYSTEM,2022-06-24T14:45:00,2022-07-01T15:10:00,FOLLOW UP INSPECTION,t,3,MANOWN MARYANN,1,,0.2,,,,7,,<30,10,t,t,f,t,f,t,
127415,200316,9517,HIGHLAND HOUSE TOWER POOL,5700 BUNKERHILL STREET,,Pittsburgh,Pittsburgh,Allegheny County,PA,15206,40.47928367,-79.91943056,POOLS (OUTDOOR),2022-07-06T11:00:00,2022-07-06T12:30:00,INITIAL INSPECTION,t,1,FREEMAN MICHELE,2,2,0.2,0.2,0,0,7,7,<50,60,t,t,f,t,t,t,11/22/2023
127416,200320,2422,MT LEBANON MUNICIPAL POOL,900 CEDAR BOULEVARD,,Mount Lebanon,PITTSBURGH,Allegheny County,PA,15228,40.37406275,-80.05533172,POOLS (OUTDOOR),2022-07-06T14:25:00,2022-07-07T14:55:00,INITIAL INSPECTION,t,1,WOLFE CURRIER,2.2,3.4,,,,,7.6,7.6,<30,450,t,t,t,t,t,t,7/18/2022
127417,200333,2419,BOWER HILL III APTS - POOL,1170 BOWER HILL ROAD,,Mount Lebanon,PITTSBURGH,Allegheny County,PA,15228,,,POOLS (OUTDOOR),2022-07-06T13:35:00,2022-07-07T14:10:00,FOLLOW UP INSPECTION,t,3,WOLFE CURRIER,7.2,,0,,,,7,,35,90,t,t,f,t,f,t,7/12/2022
127418,200358,9697,HAMPSHIRE HOUSE APT POOL,195 MT LEBANON BOULEVARD,,Mount Lebanon,Pittsburgh,Allegheny County,PA,15228,40.36832596,-80.03882407,POOLS (OUTDOOR),2022-07-07T14:00:00,2022-07-08T14:35:00,INITIAL INSPECTION,t,1,WOLFE CURRIER,2.8,,0,,,,7,,<30,120,t,t,t,t,f,t,8/25/2023
127420,200394,5882,THE FOUNDRY AT 41ST POOL,4107 WILLOW STREET,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15201,40.47185423,-79.96412576,POOLS (OUTDOOR),2022-07-07T12:00:00,2022-07-11T12:50:00,INITIAL INSPECTION,f,1,TIJANI ISSA,2.8,2.8,0,0,,,7.4,7.4,,75,t,t,t,t,t,t,7/14/2022
127421,200413,10939,BOWER HILL III APTS - POOL,1170 BOWER HILL ROAD,,Mount Lebanon,Pittsburgh,Allegheny County,PA,15243,40.37679027,-80.07244576,POOLS (OUTDOOR),2022-07-06T13:35:00,2022-07-12T14:05:00,INITIAL INSPECTION,t,1,WOLFE CURRIER,7.2,,0,,,,7,,35,90,t,t,f,t,f,t,8/23/2022
127424,200447,2298,CHARLEMAGNE II POOL,4000 CHARLEMAGNE CIRCLE,,Ross Township,PITTSBURGH,Allegheny County,PA,15237,,,POOL (CONDO OUTDOOR),2022-07-08T12:30:00,2022-07-13T13:30:00,INITIAL INSPECTION,t,1,NOBBS SCOTT,2.2,,0,,,,7,,,55,t,t,f,t,f,t,7/11/2023
127425,200468,2370,GREENTREE / WILSON PARK POOL,825 POPLAR STREET,,Green Tree,PITTSBURGH,Allegheny County,PA,15220,40.41866469,-80.05012334,POOLS (OUTDOOR),2022-07-08T12:00:00,2022-07-13T12:30:00,INITIAL INSPECTION,f,1,MANOWN MARYANN,2,2.5,0,0,,,7.4,7.4,,875,t,t,t,t,t,t,7/14/2022
127427,200473,669,DAYS INN - BANKSVILLE POOL,1150 BANKSVILLE ROAD,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15216,40.41920306,-80.03026905,POOLS (OUTDOOR),2022-07-12T10:10:00,2022-07-13T10:30:00,FOLLOW UP INSPECTION,t,2,MANOWN MARYANN,,,,,,,7.4,,,,t,t,f,t,f,t,9/1/2022
127429,200489,2470,HIDDEN VALLEY POOL,2774 BINGHAM DRIVE,,Upper St Clair Township,PITTSBURGH,Allegheny County,PA,15241,40.31263041,-80.10799119,POOL (CONDO OUTDOOR),2022-07-13T15:20:00,2022-07-14T15:35:00,INITIAL INSPECTION,t,1,WOLFE CURRIER,1.4,,0,,,,7.4,,<30,,t,t,f,t,t,t,6/21/2023
127430,200493,2488,WOODLAND HILLS CLUB WADING POOL,2799 BINGHAM DRIVE,,Upper St Clair Township,PITTSBURGH,Allegheny County,PA,15241,40.31280162,-80.10647077,WADING POOL SYSTEM,2022-07-13T15:00:00,2022-07-14T15:05:00,INITIAL INSPECTION,t,1,WOLFE CURRIER,3,,0,,,,7.4,,<30,,t,t,t,t,t,t,
127431,200532,2448,MANORVIEW APTS POOL,101 MANORVIEW ROAD,,Scott Township,PITTSBURGH,Allegheny County,PA,15220,40.3944965,-80.06504338,POOLS (OUTDOOR),2022-07-14T14:05:00,2022-07-15T14:25:00,INITIAL INSPECTION,t,1,WOLFE CURRIER,3.4,,0,,,,7.4,,<30,115,t,t,f,t,t,t,8/23/2022
127433,200590,2430,PENNSBURY VILLAGE CONDO POOL,1039 PENNSBURY BOULEVARD,,Pennsbury Village,PITTSBURGH,Allegheny County,PA,15205,40.42862879,-80.09973829,POOL (CONDO OUTDOOR),2022-07-15T15:40:00,2022-07-18T16:10:00,INITIAL INSPECTION,t,1,MANOWN MARYANN,2,2,0,0,,,7.6,7.6,<30,300,t,t,f,t,t,t,7/21/2022
127434,200594,317,HOLIDAY INN EXPRESS PITTSBURGH AIRPORT / POOL,5311 CAMPBELLS RUN ROAD,,Robinson Township,PITTSBURGH,Allegheny County,PA,15205,40.44325817,-80.15989771,POOLS (OUTDOOR),2022-07-15T11:35:00,2022-07-18T12:25:00,INITIAL INSPECTION,t,1,MANOWN MARYANN,6.5,,0,,,,7.4,,40,,t,t,t,t,t,t,7/20/2022
127438,200657,6001,SUMMER SEAT HOA SPA ,105 GATEWAY DRIVE,,Ohio Township,PITTSBURGH,Allegheny County,PA,15237,40.53702487,-80.09542091,SPA/HOT TUB (OUTDOOR),2022-07-20T09:25:00,2022-07-21T09:35:00,INITIAL INSPECTION,f,1,NOBBS SCOTT,5,,0.2,,,,7.4,,<30,70,t,t,t,t,t,t,8/3/2022
127439,200666,2513,SULLIVAN MEMORIAL OUTDOOR POOL,517 TWIN OAK DRIVE,,Penn Hills,PITTSBURGH,Allegheny County,PA,15235,40.47898714,-79.7904494,POOLS (OUTDOOR),2022-07-20T13:50:00,2022-07-21T14:20:00,INITIAL INSPECTION,t,1,WILSON ANGELA,1.2,1,0,0,,,7.4,7.4,<30,,t,t,t,t,t,t,8/5/2022
127440,200667,2133,ALCOMA ON THE GREEN POOL,225 ALCOMA BOULEVARD,#114,Penn Hills,PITTSBURGH,Allegheny County,PA,15235,40.48537735,-79.80116317,POOLS (OUTDOOR),2022-07-20T14:30:00,2022-07-21T15:10:00,FOLLOW UP INSPECTION,t,2,WILSON ANGELA,3.4,,0,,,,7.6,,30,100,t,t,f,t,t,t,8/18/2022
127441,200688,2452,BOWER HILL SWIM CLUB - WADING POOL,1600 BOWER HILL ROAD,,Scott Township,PITTSBURGH,Allegheny County,PA,15243,40.37210836,-80.08070362,WADING POOL SYSTEM,2022-07-21T14:50:00,2022-07-22T13:00:00,INITIAL INSPECTION,t,1,WOLFE CURRIER,2.4,,0,,,,7.6,,<30,90,t,t,f,t,t,t,8/12/2022
127448,200224,2007,MAGEE POOL/CITY OF PITTSBURGH,745 GREENFIELD AVENUE,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15217,,,POOLS (OUTDOOR),2022-06-29T13:45:00,2022-06-30T14:45:00,INITIAL INSPECTION,t,1,TIJANI ISSA,1,1,0,0,,,7.4,7.4,40,1900,t,t,t,t,t,t,6/30/2022
127450,200267,2362,CRAFTON BOROUGH POOL,117 W STEUBEN STREET,,Crafton,PITTSBURGH,Allegheny County,PA,15205,40.43820874,-80.0729088,POOLS (OUTDOOR),2022-06-27T15:05:00,2022-07-01T15:30:00,FOLLOW UP INSPECTION,t,2,MANOWN MARYANN,5,4,0,0,,,7.6,7.6,0,,t,t,f,t,t,t,8/22/2022
127453,200340,2517,GRANDVIEW POINTE APTS POOL,1411 GRANDVIEW AVENUE,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15211,40.43848893,-80.02133562,POOLS (OUTDOOR),2022-07-06T14:40:00,2022-07-07T15:15:00,FOLLOW UP INSPECTION,t,2,MANOWN MARYANN,6.5,,0,,,,7,,50,50,t,t,f,t,f,t,9/9/2022
127454,200350,772,BELLEVUE MEMORIAL WADING POOL,320 BELLEVUE ROAD,,Ross Township,PITTSBURGH,Allegheny County,PA,15202,,,WADING POOL SYSTEM,2022-07-07T13:35:00,2022-07-08T13:55:00,INITIAL INSPECTION,t,1,NOBBS SCOTT,1.2,,0,,,,7.2,,,80,t,t,t,t,t,t,7/14/2022
127455,200353,10518,FRANKLIN RIDGE ESTATES CSA POOL,1624 COUNTRY CLUB DRIVE,,Franklin Park,Pittsburgh,Allegheny County,PA,15237,40.56377426,-80.08273891,POOL (CONDO OUTDOOR),2022-07-07T14:30:00,2022-07-08T14:40:00,FOLLOW UP INSPECTION,t,2,NOBBS SCOTT,1.4,1,,,,,,,,,t,t,t,t,t,t,7/14/2022
127456,200400,1510,CITY VISTA APARTMENTS - POOL,325 ELIZABETH DRIVE,,Green Tree,PITTSBURGH,Allegheny County,PA,15220,40.42703353,-80.03623483,POOLS (OUTDOOR),2022-07-07T15:30:00,2022-07-11T16:05:00,FOLLOW UP INSPECTION,t,3,MANOWN MARYANN,2,,0,,,,7.4,,<30,70,t,t,t,t,t,t,9/9/2022
127457,200748,2298,CHARLEMAGNE II POOL,4000 CHARLEMAGNE CIRCLE,,Ross Township,PITTSBURGH,Allegheny County,PA,15237,,,POOL (CONDO OUTDOOR),2022-07-13T12:43:00,2022-07-26T12:53:00,INITIAL INSPECTION,f,1,NOBBS SCOTT,,,,,,,,,,,t,t,t,t,t,t,8/10/2022
127458,200762,448,ST CLAIR COUNTRY CLUB WADING POOL,2300 OLD WASHINGTON ROAD,,Upper St Clair Township,PITTSBURGH,Allegheny County,PA,15241,40.33138823,-80.07802882,WADING POOL SYSTEM,2022-07-26T14:30:00,2022-07-27T14:45:00,INITIAL INSPECTION,t,1,WOLFE CURRIER,4.6,,0,,,,7.2,,<30,80,t,t,t,t,t,t,8/10/2022
127460,200793,1306,SAMPSON YMCA SPECIAL PURPOSE POOL,2200 GOLDEN MILE  HIGHWAY,Rt#286,Plum,PITTSBURGH,Allegheny County,PA,15239,40.45807353,-79.7076382,POOLS (OUTDOOR),2022-07-26T12:01:00,2022-07-27T12:45:00,FOLLOW UP INSPECTION,t,2,WILSON ANGELA,2.2,,0,,,,7.6,,<30,,t,t,f,t,f,t,8/26/2022
127461,200797,2032,HYLAND HILLS POOL,275 OAKVILLE DRIVE,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15220,40.41885705,-80.03865286,POOLS (OUTDOOR),2022-07-26T14:35:00,2022-07-27T15:05:00,FOLLOW UP INSPECTION,t,2,MANOWN MARYANN,1,1.5,0,0.2,,,7.4,7.4,30,260,t,t,f,t,t,t,9/2/2022
127462,200799,2033,CRANE VILLAGE APTS POOL,651 OAKLYN COURT,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15220,40.41514057,-80.03415507,POOLS (OUTDOOR),2022-07-26T15:10:00,2022-07-27T15:45:00,INITIAL INSPECTION,t,1,MANOWN MARYANN,1,1,0,0,,,7.4,7.6,<30,,t,t,f,t,t,t,
127464,200807,2045,STACK(JACK)POOL/CITY OF PITTSBURGH,600 BRIGHTON WOOD ROAD,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15212,40.48688922,-80.03063634,POOLS (OUTDOOR),2022-07-27T12:10:00,2022-07-28T12:30:00,FOLLOW UP INSPECTION,t,2,LAURIA D. ANTHONY,3,2.8,0,0,,,7.8,7.9,,820,t,t,f,t,t,t,8/1/2022
127465,200813,2213,FOX CHAPEL RACQUET CLUB POOL,355 HUNT ROAD,,Fox Chapel,PITTSBURGH,Allegheny County,PA,15238,40.51077363,-79.89246248,POOLS (OUTDOOR),2022-07-27T11:30:00,2022-07-28T13:30:00,FOLLOW UP INSPECTION,t,2,FREEMAN MICHELE,2.4,2.4,0.2,0.2,0,0,7.2,7.2,<50,450,t,t,f,t,t,t,8/9/2023
127466,200815,2216,PITTSBURGH FIELD CLUB - WADING POOL,121 FIELD CLUB ROAD,,Fox Chapel,PITTSBURGH,Allegheny County,PA,15238,40.51312114,-79.88989824,WADING POOL SYSTEM,2022-07-27T14:00:00,2022-07-28T15:30:00,FOLLOW UP INSPECTION,t,2,FREEMAN MICHELE,0,,0,,0,0,7,,<50,,t,t,t,t,t,f,
127467,200816,2215,PITTSBURGH FIELD CLUB - POOL,121 FIELD CLUB ROAD,,Fox Chapel,PITTSBURGH,Allegheny County,PA,15238,40.51312114,-79.88989824,POOLS (OUTDOOR),2022-07-27T14:00:00,2022-07-28T15:30:00,INITIAL INSPECTION,t,1,FREEMAN MICHELE,2.2,2.2,0,0,0,0,7.4,7.4,<50,750,t,t,t,t,t,t,
127469,200496,7041,TOWN PLACE APARTMENTS SPA,424 STANWIX STREET,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15222,40.4408757,-80.00399704,SPA/HOT TUB (OUTDOOR),2022-07-12T10:30:00,2022-07-14T10:45:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,,,,,,,,,,,t,t,t,t,t,t,7/12/2022
127470,200504,850,SUMMERSET COMMUNITY POOL,1425 PARKVIEW BOULEVARD,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15217,40.41978366,-79.91613174,POOL (CONDO OUTDOOR),2022-07-08T03:15:00,2022-07-14T03:45:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,2.2,,0,,,,7.2,,,200,t,t,t,t,t,t,7/15/2022
127471,200533,469,THE VENUE POOL,625 STANWIX STREET,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15222,40.44316988,-80.00484614,POOLS (OUTDOOR),2022-07-12T10:00:00,2022-07-15T10:30:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,4,,0,,,,7.2,,,40,t,t,t,t,t,t,7/15/2022
127474,200604,476,BLACKRIDGE SWIMMING CLUB WADING POOL, BEULAH ROAD,,Churchill,PITTSBURGH,Allegheny County,PA,15235,,,WADING POOL SYSTEM,2022-06-28T13:45:00,2022-07-19T14:00:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,2,,0,,,,7.2,,,10,t,t,t,t,t,t,8/8/2022
127476,200642,10979,THE VIEW NORTH HILLS POOL,1000 JOHNANNA DRIVE,,Ross Township,Pittsburgh,Allegheny County,PA,15237,40.54750291,-80.01407239,POOLS (OUTDOOR),2022-07-13T13:45:00,2022-07-20T14:45:00,INITIAL INSPECTION,t,1,NOBBS SCOTT,4.6,4.2,0,0,,,7.4,7.4,,120,t,t,f,t,t,t,8/22/2022
127477,200655,6002,SUMMER SEAT HOA POOL,105 GATEWAY DRIVE,,Ohio Township,PITTSBURGH,Allegheny County,PA,15237,40.53702487,-80.09542091,POOL (CONDO OUTDOOR),2022-07-20T09:00:00,2022-07-21T09:25:00,INITIAL INSPECTION,f,1,NOBBS SCOTT,2.2,,0,,,,7.4,,<30,230,t,t,t,t,t,t,8/3/2022
127479,200687,2451,BOWER HILL SWIM CLUB  - MAIN POOL,1600 BOWER HILL ROAD,,Scott Township,PITTSBURGH,Allegheny County,PA,15243,40.37210836,-80.08070362,POOLS (OUTDOOR),2022-07-21T14:20:00,2022-07-22T14:50:00,INITIAL INSPECTION,t,1,WOLFE CURRIER,2.6,2.6,0,0,,,7.4,7.6,<30,480,t,t,f,t,t,t,8/16/2022
127480,200689,2458,NOB HILL APARTMENTS,3000 SWALLOW HILL ROAD,,Scott Township,PITTSBURGH,Allegheny County,PA,15220,40.38894818,-80.075264,POOLS (OUTDOOR),2022-07-21T12:55:00,2022-07-22T13:15:00,INITIAL INSPECTION,t,1,WOLFE CURRIER,1.6,,0.2,,,,7.2,,33,65,t,t,f,t,t,t,7/31/2023
127482,200695,2316,CHATEAU PERRY POOL,951 PERRY HIGHWAY,,Ross Township,PITTSBURGH,Allegheny County,PA,15237,40.53591044,-80.03746051,POOLS (OUTDOOR),2022-07-21T14:15:00,2022-07-22T14:35:00,INITIAL INSPECTION,t,1,NOBBS SCOTT,1.6,1.8,0,0,,,7.4,7.4,<30,95,t,t,f,t,t,t,7/25/2022
127485,200727,8816,PENNWOOD SQUARE POOL,601 A HAY STREET,,Wilkinsburg,Pittsburgh,Allegheny County,PA,15221,40.44128531,-79.88774255,POOLS (OUTDOOR),2022-07-19T15:30:00,2022-07-25T16:30:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,3.2,,0,,,,7.4,,,110,t,t,t,t,t,t,8/5/2022
127488,200756,10577,THE DISTRICT - POOL,1759 Waterfront PLACE,,Pittsburgh,Pittsburgh,Allegheny County,PA,15222,40.45159947,-79.98735184,POOLS (OUTDOOR),2022-07-22T12:00:00,2022-07-26T12:30:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,5,,0,,,,7.8,,,90,t,t,t,t,t,t,8/4/2022
127489,200770,4141,TORRENTE APARTMENTS POOL,2565 BOYCE PLAZA  ROAD,,Upper St Clair Township,PITTSBURGH,Allegheny County,PA,15241,40.32251609,-80.11355233,POOLS (OUTDOOR),2022-07-26T15:05:00,2022-07-27T15:30:00,INITIAL INSPECTION,t,1,WOLFE CURRIER,0.6,,0.4,,,,7,,>100,65,t,t,f,t,f,t,6/7/2023
127490,200773,10737,CAMBRIA SUITES PGH @ PPG PAINTS ARENA POOL,1320 CENTRE  AVENUE,,Pittsburgh,Pittsburgh,Allegheny County,PA,15219,40.44009334,-79.98798104,POOLS (INDOOR),2022-07-25T15:00:00,2022-07-27T15:25:00,FOLLOW UP INSPECTION,t,2,ANDERSON IAN,,,,,,,,,,,t,t,f,t,t,t,9/14/2023
127491,200776,8896,BEAR RUN VILLAGE LIMITED PARTNERSHIP POOL,100 BEAR RUN DRIVE,,Ohio Township,Pittsburgh,Allegheny County,PA,15237,40.54902623,-80.08057653,POOLS (OUTDOOR),2022-07-26T13:45:00,2022-07-27T14:20:00,INITIAL INSPECTION,t,1,NOBBS SCOTT,3.2,,0,,,,7.4,,,130,t,t,f,t,t,t,8/10/2022
127492,200790,3906,SAMPSON FAMILY YMCA MAIN POOL,2200 GOLDEN MILE HIGHWAY,,Plum,PITTSBURGH,Allegheny County,PA,15239,40.45807353,-79.7076382,POOLS (INDOOR),2022-07-26T11:00:00,2022-07-27T11:30:00,INITIAL INSPECTION,t,1,WILSON ANGELA,2.8,2.6,0.4,0.2,,,7.2,7,,400,t,t,f,t,t,t,9/26/2022
127497,200828,2019,REAM POOL/CITY OF PITTSBURGH,321 MERRIMAC STREET,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15211,40.43084703,-80.01313567,POOLS (OUTDOOR),2022-07-28T14:30:00,2022-07-29T15:00:00,FOLLOW UP INSPECTION,t,2,MANOWN MARYANN,1,1.5,0,0,,,7.2,7.2,0,700,t,t,t,t,f,t,7/29/2022
127500,200862,1980,BLOOMFIELD POOL / CITY OF PITTSBURGH,401 ELLA STREET,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15224,40.46187762,-79.9528585,POOLS (OUTDOOR),2022-07-29T14:00:00,2022-08-02T13:00:00,INITIAL INSPECTION,t,1,ANDERSON IAN,2.6,2.8,0,0,,,7.2,7.2,,3200,t,t,t,t,t,t,8/10/2022
127502,200903,8776,BRACKEN HOUSE NORTH SHORE POOL,100 ANDERSON STREET,,PITTSBURGH,Pittsburgh,Allegheny County,PA,15212,40.44863837,-79.99936184,POOLS (OUTDOOR),2022-08-03T15:20:00,2022-08-04T15:40:00,FOLLOW UP INSPECTION,t,2,NOBBS SCOTT,,,,,,,,,,,t,t,f,t,t,t,8/12/2022
127505,200421,9737,CITY VIEW APARTMENTS POOL,1420 CENTRE AVENUE,,Pittsburgh,Pittsburgh,Allegheny County,PA,15219,40.4404243,-79.98643315,POOLS (OUTDOOR),2022-07-12T12:05:00,2022-07-12T12:40:00,INITIAL INSPECTION,t,1,ANDERSON IAN,4.4,,0,,,,7.4,,,225,t,t,f,t,t,t,7/14/2022
